region,region_name,age_t,age_p,age_p_fdr,age_estimate,age_ci_low,age_ci_high,sex_t,sex_p,sex_p_fdr,sex_estimate,sex_ci_low,sex_ci_high,intercept
100,RM,-2.34810589603091,0.0221277498156639,0.05250652498632112,-6.24203554381325e-05,-0.0001143919474355,-1.04487632793307e-05,2.2997891488037,0.024896538658176,0.07416054733138056,0.0008183624682838,0.0001226734544175,0.0015140514843119,0.0405347222025899
87,Id,-5.16946006569128,2.74541892970215e-06,1.747084773446823e-05,-0.0002238311117122,-0.0003079410971529,-0.0001397211260434,1.72512452947949,0.0895685509277662,0.16719462839849691,0.0009998730026085,-0.000126018865608,0.0021257648746251,0.0398770379924837
101,STGr,-1.16537961047224,0.248402220377292,0.34094422404726354,-3.10306013864109e-05,-8.28981138343004e-05,2.08369112212383e-05,4.49244280547617,3.198409231934e-05,0.0008955545849415201,0.0016012327294508,0.0009069369189932,0.0022955285420344,0.0362349101275365
108,PrCO,-2.09084633878577,0.04071522787394,0.0886769678034522,-8.70801726271766e-05,-0.000167984071255,-6.17627375079566e-06,2.31100239312784,0.0242278932837134,0.07416054733138056,0.0012883880399734,0.0002054126818541,0.0023713634014005,0.0435371894446868
218,Iapl,-5.28616231705715,1.7763351345169e-06,1.1842234230112666e-05,-0.0002568257906377,-0.0003515545674606,-0.0001620970135236,1.06827081964797,0.289607760432935,0.3936416161224359,0.000694750118738,-0.0005732843362407,0.0019627845776138,0.0451543580695049
128,Iai,-2.67430794636424,0.0095975568777545,0.025352037035577923,-0.0001163186166207,-0.0002009013979989,-3.17358349838987e-05,4.17878669567163,9.49944442019659e-05,0.0016624027735344033,0.0024329721734355,0.0013007514831403,0.0035651928671943,0.0441758741042015
149,RTL,-1.52344110985887,0.132816218523502,0.21372724819873887,-5.98511474486888e-05,-0.0001361677618779,1.64654589629137e-05,1.95904269537945,0.0546829434046022,0.12550183732203782,0.0010302433883442,8.6731767456058e-06,0.002051813492622,0.0388313620824007
110,TGdg,1.43538581351532,0.156285166423974,0.23657802104703768,5.26343175991816e-05,-1.88150506201425e-05,0.0001240836860374,3.23907295975986,0.001942501975124,0.012950013167493333,0.0015899014390539,0.0006334839308073,0.0025463189502344,0.0319290332036939
135,TGsts,-0.429630899233323,0.668977975060966,0.7452547779634788,-2.1602172615782e-05,-0.0001195252735309,7.63209285869891e-05,2.72276375718971,0.0084295609770308,0.04006597631529593,0.0018325718429729,0.0005217783326671,0.0031433653571291,0.0391844127246076
59,TGvd,-1.25563259078859,0.214037649261955,0.30511194707379413,-6.8194634179626e-05,-0.0001739285870669,3.7539319032141e-05,1.32600245074597,0.189782848985632,0.29521776508876085,0.0009640089721659,-0.0004513401943561,0.0023793581430335,0.0349864524018931
67,EI,-0.895401564867676,0.374092234321395,0.47182804328824596,-4.67864343991142e-05,-0.0001488730439425,5.53001754605901e-05,1.59546188672855,0.115777409139008,0.2051751554362167,0.0011159318127383,-0.0002505942064348,0.0024824578361453,0.0445876638432463
10,36c,-2.49243264246154,0.0154189519169339,0.037218159799495616,-0.0001400652720646,-0.0002494790660156,-3.06514777784918e-05,0.303676563159902,0.762407727529288,0.7965453869708978,0.0002284375213543,-0.0012361698052981,0.0016930448524946,0.0429640260373601
140,TGa,-3.39718074521191,0.0012036090201464,0.0041408868340399516,-0.0001963845402079,-0.0003087048096096,-8.40642707078827e-05,2.76869210914451,0.0074441943726359,0.038180153644952995,0.0021424585583132,0.0006389453032341,0.0036459718149165,0.0411900384348474
3,11l,1.17993067846026,0.242609699137178,0.3396535787920492,4.17218019488229e-05,-2.69613782602199e-05,0.0001104049823681,2.35333188831969,0.0218459475233498,0.07112634077369702,0.0011138811860818,0.0001944917259456,0.0020332706490319,0.0400201082355595
69,13a,-2.5968532080761,0.0117745013090975,0.030526484875437965,-0.0001017980467291,-0.0001784640588157,-2.51320344037217e-05,1.16680544789858,0.247830190446211,0.34352699665811426,0.0006122652581901,-0.0004139819721872,0.0016385124917646,0.0463633454202899
